Running pytorch 2.2.0+cu121
wandb: Using wandb-core as the SDK backend. Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: alexandretl. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.18.1
wandb: Run data is saved locally in /workspace/arena/wandb/run-20240919_062250-mhxrp6xu
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run earthy-morning-89
wandb: ⭐️ View project at https://wandb.ai/alexandretl/arena
wandb: 🚀 View run at https://wandb.ai/alexandretl/arena/runs/mhxrp6xu
DataLoader: total number of tokens: 10,255,324,043 across 103 files
DataLoader: total number of tokens: 100,000,000 across 1 files
Model initialized. Number of parameters : 123532032.
GPT(
  (transformer): ModuleDict(
    (wte): Embedding(50257, 768)
    (h): ModuleList(
      (0-11): 12 x Block(
        (attn): CausalSelfAttention(
          (c_attn): Linear(in_features=768, out_features=2304, bias=False)
          (c_proj): Linear(in_features=768, out_features=768, bias=False)
          (rotary): Rotary()
        )
        (mlp): MLP(
          (fc_1): Linear(in_features=768, out_features=2048, bias=False)
          (fc_2): Linear(in_features=2048, out_features=768, bias=False)
          (fc_3): Linear(in_features=768, out_features=2048, bias=False)
        )
      )
    )
  )
  (lm_head): Linear(in_features=768, out_features=50257, bias=False)
)
compiling the model...
/usr/local/lib/python3.10/dist-packages/torch/_inductor/compile_fx.py:140: UserWarning: TensorFloat32 tensor cores for float32 matrix multiplication available but not enabled. Consider setting `torch.set_float32_matmul_precision('high')` for better performance.
  warnings.warn(
step  160/8200 | train loss 5.562893 | lr 1.44e-03 | (3954.04 ms | 4144 tok/s)
step  161/8200 | train loss 5.532977 | lr 1.45e-03 | (3955.50 ms | 4142 tok/s)
step  162/8200 | train loss 5.516943 | lr 1.46e-03 | (3952.87 ms | 4145 tok/s)
step  163/8200 | train loss 5.468419 | lr 1.47e-03 | (3954.04 ms | 4144 tok/s)
step  164/8200 | train loss 5.495376 | lr 1.48e-03 | (3955.08 ms | 4143 tok/s)
step  165/8200 | train loss 5.458252 | lr 1.48e-03 | (3954.55 ms | 4143 tok/s)
step  166/8200 | train loss 5.492803 | lr 1.49e-03 | (3954.11 ms | 4144 tok/s)
step  167/8200 | train loss 5.450669 | lr 1.50e-03 | (3953.31 ms | 4144 tok/s)
step  168/8200 | train loss 5.416716 | lr 1.51e-03 | (3955.18 ms | 4142 tok/s)
val loss 5.521110534667969
step  169/8200 | train loss 5.401730 | lr 1.52e-03 | (6606.30 ms | 2480 tok/s)
step  170/8200 | train loss 5.405162 | lr 1.53e-03 | (3954.15 ms | 4143 tok/s)
Process ForkProcess-24:
Process ForkProcess-30:
Process ForkProcess-20:
Process ForkProcess-27:
Process ForkProcess-18:
Process ForkProcess-12:
Process ForkProcess-16:
Process ForkProcess-10:
Process ForkProcess-17:
Process ForkProcess-13:
Process ForkProcess-14:
Process ForkProcess-21:
Process ForkProcess-29:
Process ForkProcess-15:
Traceback (most recent call last):
Process ForkProcess-32:
Process ForkProcess-26:
Process ForkProcess-31:
Process ForkProcess-22:
Process ForkProcess-25:
Process ForkProcess-8:
Process ForkProcess-19:
Process ForkProcess-23:
Process ForkProcess-11:
Process ForkProcess-7:
Process ForkProcess-28:
Process ForkProcess-6:
Process ForkProcess-9:
Process ForkProcess-5:
Process ForkProcess-4:
Process ForkProcess-3:
Process ForkProcess-1:
Process ForkProcess-2:
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
    self.run()
Traceback (most recent call last):
Traceback (most recent call last):
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
    self.run()
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
    self.run()
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
    self.run()
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
    self.run()
  File "/usr/lib/python3.10/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
    self.run()
  File "/usr/lib/python3.10/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
    self.run()
  File "/usr/lib/python3.10/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
    self.run()
  File "/usr/lib/python3.10/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
    self.run()
  File "/usr/lib/python3.10/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
    self.run()
  File "/usr/lib/python3.10/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
    self.run()
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
    self.run()
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
    self.run()
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
    self.run()
  File "/usr/lib/python3.10/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
    self.run()
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
    self.run()
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
    self.run()
  File "/usr/lib/python3.10/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
    self.run()
  File "/usr/lib/python3.10/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
    self.run()
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
    self.run()
  File "/usr/lib/python3.10/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
    self.run()
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
    self.run()
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
    self.run()
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
    self.run()
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
    self.run()
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
    self.run()
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
    self.run()
  File "/usr/lib/python3.10/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
    self.run()
  File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
